age,job_type,risk_preference,current_asset,monthly_income,monthly_expense,monthly_cashflow,goal_amount,goal_months,expected_return,future_asset,shortage_amount,achievable
52,self_employed,medium,0,5460605,4582753,877852,10000,26,0.0364,23710940,0,1
32,freelancer,medium,23822770,0,14293662,-14293662,629000,23,0.0593,0,629000,0
22,student,medium,4388443,464631,232838,231793,10000,61,0.0569,22208271,0,1
34,freelancer,high,0,0,0,0,37000,47,0.087,0,37000,0
25,student,low,3274449,0,1395762,-1395762,892000,36,0.0204,0,892000,0
22,freelancer,high,11654542,1730220,1272326,457894,10000,77,0.0836,66341208,0,1
49,freelancer,low,660166,0,357513,-357513,10000,38,0.0149,0,10000,0
41,employee,low,15470622,3490959,1802262,1688697,1340000,41,0.0267,89355227,0,1
21,student,medium,0,0,0,0,62000,81,0.0559,0,62000,0
23,student,low,4281745,1759363,1434697,324666,740000,114,0.0225,46523311,0,1
33,employee,medium,41589436,2952097,2056266,895831,1354000,76,0.0474,135343530,0,1
32,employee,low,12700800,4692023,2808483,1883540,1677000,58,0.0121,125910015,0,1
20,student,low,0,2637067,2480606,156461,1650000,58,0.0136,9374151,0,1
38,employee,medium,22375093,3818699,2626290,1192409,10000,93,0.0463,165104996,0,1
22,student,high,5659099,0,1460167,-1460167,2188000,66,0.0983,0,2188000,0
20,student,medium,776510,0,223293,-223293,10000,96,0.0361,0,10000,0
43,self_employed,medium,0,1716925,1073770,643155,1379000,58,0.0463,41716699,0,1
23,employee,medium,15173776,1766339,1011913,754426,10000,56,0.0391,64471156,0,1
46,professional,high,8470565,4303209,2915383,1387826,329000,22,0.0815,42642028,0,1
24,professional,medium,27151013,4858569,3814136,1044433,1137000,51,0.0571,94712660,0,1
33,self_employed,low,39582850,5386109,4626588,759521,158000,43,0.0193,76201973,0,1
22,freelancer,low,0,0,0,0,566000,49,0.0235,0,566000,0
37,self_employed,high,19358346,0,813364,-813364,10000,41,0.0965,0,10000,0
38,professional,low,0,5029256,3374817,1654439,1849000,33,0.0228,56289276,0,1
48,self_employed,high,11802037,0,4872249,-4872249,10000,41,0.0973,0,10000,0
22,employee,medium,11119863,4304389,3943540,360849,218000,80,0.0488,49421461,0,1
24,student,low,3630300,0,1917098,-1917098,10000,83,0.0134,0,10000,0
44,employee,low,8764405,2823642,1669671,1153971,774000,47,0.014,64975896,0,1
34,professional,high,26163434,7105079,4565316,2539763,1659000,45,0.0952,174042633,0,1
20,student,medium,3657933,179331,148450,30881,447000,44,0.0483,5848364,0,1
28,employee,low,25403122,3139349,1383056,1756293,10000,46,0.0241,112409233,0,1
35,employee,low,25712980,3949357,2227116,1722241,10000,72,0.0106,155371890,0,1
41,freelancer,high,0,309618,248854,60764,56000,62,0.0915,4793588,0,1
22,freelancer,low,6804824,0,851644,-851644,614000,8,0.018,37883,576117,0
40,self_employed,high,46113629,0,7111968,-7111968,10000,51,0.075,0,10000,0
30,freelancer,medium,11057170,0,5251830,-5251830,765000,39,0.0388,0,765000,0
32,employee,low,4857285,3633595,2530443,1103152,1541000,75,0.0129,91379910,0,1
31,employee,medium,27567107,3524869,2142835,1382034,197000,20,0.0306,57328247,0,1
23,student,low,0,0,0,0,10000,88,0.0168,0,10000,0
31,employee,low,18035927,4068557,2867175,1201382,10000,42,0.0149,70764778,0,1
23,student,high,0,986383,812503,173880,10000,19,0.0722,3488865,0,1
35,self_employed,low,10250922,0,2093359,-2093359,226000,69,0.0143,0,226000,0
25,student,medium,2284325,0,510039,-510039,10000,54,0.043,0,10000,0
30,employee,low,26140493,2967398,1838151,1129247,864000,1,0.0123,27296534,0,1
23,student,low,0,0,0,0,1206000,31,0.0134,0,1206000,0
25,student,low,4448152,233014,133942,99072,10000,23,0.0202,6944947,0,1
23,student,low,0,0,0,0,10000,39,0.0153,0,10000,0
34,employee,low,0,3247092,2321041,926051,471000,43,0.0251,41620358,0,1
43,professional,low,43823906,3952664,2255277,1697387,1414000,72,0.0119,173681190,0,1
21,student,medium,3583945,283985,178221,105764,841000,90,0.0395,15875266,0,1
36,professional,low,26573377,4489641,2671173,1818468,10000,16,0.0105,56235065,0,1
25,student,low,6690303,0,3454550,-3454550,1180000,14,0.0299,0,1180000,0
23,employee,medium,23842713,3565757,2007850,1557907,10000,45,0.0405,103318330,0,1
30,professional,medium,25566654,3706312,2165883,1540429,3346000,19,0.0431,57602707,0,1
30,employee,low,5431427,2603853,1551631,1052222,1500000,43,0.0165,52338913,0,1
36,freelancer,medium,18913969,4142483,2657744,1484739,1059000,43,0.0584,94129344,0,1
23,student,medium,0,1888757,857122,1031635,10000,101,0.0445,126110093,0,1
30,self_employed,low,26454313,2281909,1618683,663226,50000,53,0.0105,63672151,0,1
22,employee,medium,2421605,2430047,1699179,730868,2625000,59,0.058,52978553,0,1
40,employee,medium,40058236,4349119,2018374,2330745,10000,65,0.047,223793893,0,1
24,employee,medium,27490820,0,15943316,-15943316,2063000,70,0.0401,0,2063000,0
26,professional,medium,13794054,3727880,2117257,1610623,1284000,77,0.0448,161752251,0,1
37,employee,high,7718368,5134515,3470544,1663971,81000,25,0.0999,55528825,0,1
26,student,low,4902374,1421653,985267,436386,10000,36,0.0289,21736261,0,1
35,self_employed,low,3239501,2095493,1917793,177700,1474000,18,0.0285,6644818,0,1
39,self_employed,low,10104160,4352567,1966580,2385987,1784000,37,0.0296,103384904,0,1
22,student,medium,0,384200,352697,31503,1482000,3,0.0415,94836,1387164,0
22,freelancer,medium,36931880,0,9256909,-9256909,10000,55,0.0407,0,10000,0
22,freelancer,medium,30210361,2127863,1378402,749461,10000,40,0.0465,67623775,0,1
27,student,low,0,852827,450260,402567,10000,32,0.0251,13308664,0,1
34,professional,medium,17495510,4025532,2958820,1066712,10000,58,0.0301,86738201,0,1
27,self_employed,medium,19772276,0,3293687,-3293687,1100000,33,0.0313,0,1100000,0
25,student,low,0,0,0,0,343000,33,0.026,0,343000,0
20,student,medium,1355671,0,230695,-230695,10000,30,0.0444,0,10000,0
24,student,medium,8459127,1153018,801394,351624,93000,56,0.0351,31323848,0,1
32,self_employed,low,22635747,0,12067371,-12067371,106000,66,0.0206,0,106000,0
28,self_employed,medium,47356192,6443957,3853372,2590585,65000,44,0.0399,177330436,0,1
49,freelancer,high,4727536,0,1670539,-1670539,1668000,67,0.0999,0,1668000,0
41,self_employed,high,0,0,0,0,1048000,24,0.0617,0,1048000,0
22,student,high,4230917,0,1753846,-1753846,414000,57,0.0977,0,414000,0
31,employee,high,31461228,4089158,4080463,8695,10000,91,0.0747,56398939,0,1
38,employee,high,24005993,3167118,2438584,728534,10000,38,0.0846,62971812,0,1
34,freelancer,low,0,3170231,1675889,1494342,1653000,74,0.0272,120248437,0,1
32,employee,low,27843073,2601009,1780107,820902,10000,104,0.0108,120028532,0,1
23,student,medium,0,0,0,0,10000,59,0.0351,0,10000,0
27,student,low,291733,0,66138,-66138,10000,7,0.0192,0,10000,0
19,student,medium,238296,0,142977,-142977,2251000,37,0.0435,0,2251000,0
29,employee,medium,27183865,3620169,3212738,407431,23000,46,0.0545,54275038,0,1
24,student,medium,5709887,0,1639320,-1639320,1172000,78,0.0399,0,1172000,0
31,freelancer,medium,2537251,0,314511,-314511,895000,51,0.038,0,895000,0
19,student,low,1191742,262889,207590,55299,1166000,23,0.0154,2517413,0,1
43,professional,low,54325040,4576815,3490751,1086064,10000,43,0.0229,107588300,0,1
40,employee,high,6473331,2892616,2161041,731575,10000,38,0.0606,38400615,0,1
32,professional,low,28798877,6216590,3452397,2764193,1520000,83,0.0175,276203787,0,1
24,student,low,441669,0,152481,-152481,10000,65,0.0259,0,10000,0
36,self_employed,low,30534840,1954487,1018560,935927,1381000,50,0.0171,81256174,0,1
23,freelancer,medium,19441187,2688869,1546353,1142516,857000,19,0.0426,43210767,0,1
25,student,low,0,1795069,1549654,245415,2239000,40,0.0231,10194238,0,1
28,employee,medium,42859176,3696222,2766786,929436,231000,60,0.0368,112626687,0,1
20,student,medium,7109538,2163709,1754529,409180,2017000,26,0.0455,19003212,0,1
44,professional,high,44842174,5290143,3198818,2091325,1312000,8,0.067,63945926,0,1
26,student,low,6638344,1360268,793762,566506,831000,45,0.0159,33296111,0,1
24,student,low,5615983,750431,328143,422288,10000,52,0.0292,29751004,0,1
30,self_employed,medium,29158026,0,8914680,-8914680,1055000,49,0.0359,0,1055000,0
20,student,low,2136108,795387,560134,235253,1056000,49,0.0223,14396364,0,1
41,freelancer,medium,4624565,0,1417130,-1417130,95000,50,0.055,0,95000,0
38,professional,medium,0,4900343,3151616,1748727,1399000,58,0.0533,115398229,0,1
28,freelancer,low,40228554,4070242,2523011,1547231,10000,73,0.0246,168418156,0,1
29,employee,low,28946341,3603897,2409256,1194641,453000,71,0.0214,123187422,0,1
22,student,medium,5519316,0,1485493,-1485493,132000,58,0.0582,0,132000,0
37,freelancer,medium,12349616,0,5383012,-5383012,2238000,63,0.0411,0,2238000,0
29,employee,medium,23472089,3287589,1789363,1498226,411000,59,0.0319,123019442,0,1
42,self_employed,high,38208825,0,12714266,-12714266,1884000,52,0.0734,0,1884000,0
24,student,low,477962,0,97225,-97225,10000,53,0.0229,0,10000,0
24,student,low,0,1003085,617425,385660,10000,52,0.0288,21332215,0,1
24,employee,medium,38240079,2951130,1480558,1470572,793000,59,0.0409,142664075,0,1
31,self_employed,medium,18838913,5168959,3864016,1304943,957000,24,0.0368,52723853,0,1
23,student,medium,0,31572,20691,10881,777000,51,0.0598,630046,146954,0
41,self_employed,low,59801177,3524383,2369023,1155360,400000,86,0.0183,174259527,0,1
51,freelancer,low,39873706,0,7920151,-7920151,10000,44,0.0108,0,10000,0
39,freelancer,medium,11840508,2896824,1910618,986206,10000,13,0.0458,25560058,0,1
44,employee,low,18778978,0,5097782,-5097782,1917000,63,0.0242,0,1917000,0
24,student,medium,3520443,706860,540202,166658,10000,68,0.0522,17883226,0,1
22,student,medium,5644760,390783,222582,168201,1177000,35,0.0507,12872520,0,1
24,student,low,1828709,701471,410101,291370,281000,47,0.0144,16013996,0,1
37,freelancer,high,12867448,0,4094304,-4094304,1420000,17,0.0793,0,1420000,0
30,employee,low,13415081,2844526,1233438,1611088,672000,63,0.0296,125331397,0,1
34,employee,low,27289708,2620650,1532580,1088070,10000,109,0.0117,155414840,0,1
46,self_employed,low,22811914,2520907,2123682,397225,1975000,62,0.022,51612273,0,1
22,student,high,5967924,0,1609337,-1609337,10000,23,0.0663,0,10000,0
22,student,medium,0,1388525,563950,824575,1516000,2,0.0342,1651500,0,1
24,student,medium,6665874,1521941,1001121,520820,1682000,56,0.0345,39424361,0,1
37,freelancer,medium,15733028,132230,68989,63241,1098000,91,0.0334,26799999,0,1
34,employee,low,9249608,6059597,4063250,1996347,1903000,44,0.018,100612689,0,1
22,employee,high,7892101,3984552,2350457,1634095,560000,1,0.0886,9584466,0,1
24,self_employed,low,7847490,995253,411497,583756,813000,51,0.0225,39844999,0,1
31,professional,high,22350492,4750182,2309754,2440428,281000,41,0.0817,144489317,0,1
28,employee,low,4649872,2959885,1641848,1318037,10000,35,0.0132,51836761,0,1
25,student,low,311907,592483,359851,232632,2390000,3,0.0167,1012079,1377921,0
41,self_employed,low,25214965,2297882,1663863,634019,10000,42,0.0258,55431994,0,1
26,freelancer,low,31839132,0,15460078,-15460078,2976000,37,0.0224,0,2976000,0
36,employee,medium,19484198,3235663,2240698,994965,1503000,10,0.0468,30383652,0,1
32,self_employed,low,24401683,3964570,3570011,394559,10000,69,0.024,57170008,0,1
22,student,medium,0,904658,833311,71347,307000,6,0.0443,432052,0,1
23,freelancer,medium,36005769,0,3855300,-3855300,996000,64,0.0579,0,996000,0
39,professional,high,6229431,5794198,2668308,3125890,628000,87,0.0683,360864968,0,1
34,self_employed,high,35370792,2810018,2112193,697825,1595000,1,0.0799,36304128,0,1
23,student,low,202487,0,0,0,1368000,39,0.0173,214189,1153811,0
22,student,medium,4686533,0,987513,-987513,1130000,45,0.0562,0,1130000,0
25,student,medium,0,1780937,894788,886149,10000,63,0.0566,64831765,0,1
20,student,medium,443690,103983,100859,3124,834000,39,0.0433,641179,192821,0
33,self_employed,high,20064272,584266,445103,139163,206000,16,0.0837,24771448,0,1
23,student,low,1122560,0,95451,-95451,354000,83,0.0203,0,354000,0
24,student,medium,4008801,0,654479,-654479,1449000,51,0.0363,0,1449000,0
24,student,medium,3111273,1361310,977103,384207,1157000,22,0.0539,12297056,0,1
20,student,medium,3725867,1816366,1349771,466595,1776000,5,0.046,6148759,0,1
40,employee,medium,27717057,4116079,2969263,1146816,944000,37,0.0336,75380438,0,1
22,employee,low,7799421,3398751,2265345,1133406,10000,55,0.0173,73269334,0,1
22,student,low,5209357,1134593,526621,607972,585000,59,0.0112,42362806,0,1
27,employee,medium,15835755,2837606,2359343,478263,795000,69,0.0505,59356659,0,1
41,professional,medium,13952943,4145860,2124955,2020905,10000,10,0.0535,35206994,0,1
28,employee,low,29762348,4951237,3284809,1666428,288000,76,0.0193,168227837,0,1
41,professional,high,35354207,4575933,2700945,1874988,236000,51,0.0733,160027802,0,1
36,freelancer,medium,0,3360131,2156846,1203285,10000,8,0.0321,9716890,0,1
27,student,high,202520,0,78942,-78942,1086000,33,0.0887,0,1086000,0
25,student,medium,8800294,0,727347,-727347,1501000,49,0.057,0,1501000,0
22,employee,medium,8079247,1947221,1311564,635657,1655000,38,0.0361,34605271,0,1
22,employee,high,12464762,0,7162235,-7162235,1346000,58,0.0688,0,1346000,0
35,professional,medium,21765052,4995917,2672509,2323408,1536000,53,0.0413,160945210,0,1
37,employee,low,7542951,3292951,1932196,1360755,829000,104,0.0282,169727933,0,1
38,freelancer,high,7665618,0,2963193,-2963193,666000,58,0.0926,0,666000,0
21,student,medium,0,0,0,0,46000,77,0.0323,0,46000,0
38,freelancer,medium,15137118,1597493,883231,714262,767000,15,0.0438,26979437,0,1
19,student,medium,0,0,0,0,215000,77,0.0323,0,215000,0
36,freelancer,medium,0,4409709,3414017,995692,1474000,9,0.0552,9127897,0,1
23,student,low,0,0,0,0,2642000,42,0.0233,0,2642000,0
22,student,medium,0,0,0,0,938000,37,0.0443,0,938000,0
38,freelancer,low,11902716,0,0,0,137000,41,0.014,12485551,0,1
38,professional,medium,4294811,5546863,4231121,1315742,804000,55,0.0308,82561032,0,1
24,student,low,11336536,569714,302152,267562,349000,48,0.0275,26212701,0,1
28,employee,medium,29935071,4210776,1819092,2391684,2250000,37,0.0437,128791800,0,1
34,employee,medium,6141883,3568575,3072253,496322,94000,13,0.0437,13034155,0,1
42,employee,medium,16976191,4279803,3407989,871814,1038000,10,0.059,26743145,0,1
25,student,medium,646157,0,277535,-277535,304000,35,0.0432,0,304000,0
24,professional,low,2047744,4249611,2028545,2221066,829000,77,0.0155,181955821,0,1
23,student,medium,0,996973,709650,287323,2173000,1,0.0485,287323,1885677,0
23,student,low,0,0,0,0,12000,15,0.0287,0,12000,0
35,professional,medium,13220905,2796684,1618130,1178554,1170000,58,0.047,93160991,0,1
21,student,low,0,0,0,0,10000,42,0.027,0,10000,0
24,student,high,0,0,0,0,1306000,22,0.0646,0,1306000,0
49,self_employed,medium,24629095,1086945,793947,292998,626000,25,0.054,35289270,0,1
24,student,medium,0,1784433,1259961,524472,1843000,4,0.043,2109191,0,1
19,student,medium,667393,0,77433,-77433,1047000,100,0.0515,0,1047000,0
26,employee,medium,9885729,1356136,779619,576517,180000,58,0.0599,51866008,0,1
35,professional,low,27054647,3652200,1619055,2033145,1523000,14,0.0227,56596702,0,1
29,employee,low,26792528,3518802,1885891,1632911,407000,47,0.0195,108603599,0,1
25,employee,high,16423596,4091209,2692109,1399100,791000,126,0.0656,285400859,0,1
29,employee,medium,40957229,3432647,1447098,1985549,1301000,1,0.0342,43059506,0,1
22,freelancer,medium,26205945,0,7438425,-7438425,10000,35,0.0329,0,10000,0
26,student,medium,7921957,0,1289301,-1289301,10000,59,0.0379,0,10000,0
29,self_employed,medium,0,0,0,0,199000,37,0.0576,0,199000,0
28,professional,medium,0,2585139,1504178,1080961,1241000,70,0.0511,87937765,0,1
23,student,high,0,686378,663745,22633,413000,30,0.064,734209,0,1
22,student,high,2445920,261854,162962,98892,10000,49,0.0988,9594735,0,1
25,student,medium,9320499,0,2825543,-2825543,10000,7,0.0508,0,10000,0
34,employee,low,1177699,1797810,1209022,588788,10000,39,0.0185,24898939,0,1
26,student,medium,0,336545,192696,143849,10000,9,0.0576,1319779,0,1
37,employee,high,35071982,0,11605850,-11605850,702000,20,0.0736,0,702000,0
41,freelancer,low,0,0,0,0,10000,53,0.0243,0,10000,0
22,employee,high,20052674,3400287,2759236,641051,20000,42,0.0994,60400258,0,1
31,freelancer,medium,14338366,0,2253027,-2253027,139000,51,0.0519,0,139000,0
24,student,low,1667141,1966434,1207771,758663,610000,88,0.0184,73325454,0,1
25,student,medium,2426665,723194,447755,275439,342000,65,0.0578,24280618,0,1
26,student,medium,0,0,0,0,10000,21,0.0466,0,10000,0
26,self_employed,low,4770770,183445,131125,52320,772000,50,0.0221,7968088,0,1
20,student,medium,2383335,1045480,577892,467588,2373000,61,0.0422,34703667,0,1
34,freelancer,medium,28656806,3180447,2143048,1037399,1968000,33,0.0531,69924243,0,1
22,employee,low,34708716,3092566,2030243,1062323,10000,1,0.0285,35853472,0,1
32,self_employed,medium,8427245,1753899,1130959,622940,486000,66,0.0478,57874297,0,1
21,student,medium,0,0,0,0,433000,24,0.0433,0,433000,0
30,employee,low,40015553,1889960,882805,1007155,1068000,86,0.0293,145603240,0,1
22,student,low,8079781,1683988,1509624,174364,890000,83,0.0121,23871864,0,1
28,employee,high,2056618,3561482,2513312,1048170,1043000,1,0.0816,3118773,0,1
22,student,medium,0,1276290,1210434,65856,10000,52,0.0315,3664100,0,1
22,student,low,3736550,0,1214601,-1214601,10000,67,0.0162,0,10000,0
45,freelancer,low,957888,0,190728,-190728,323000,20,0.012,0,323000,0
39,self_employed,medium,19599164,0,2090326,-2090326,866000,28,0.0567,0,866000,0
31,freelancer,medium,14919355,2902851,1863885,1038966,1336000,60,0.0376,86465156,0,1
28,freelancer,medium,15087802,2616741,1648445,968296,790000,96,0.0524,138089771,0,1
37,freelancer,low,6636971,0,3911499,-3911499,1607000,40,0.0233,0,1607000,0
57,self_employed,high,13051085,5008598,2966429,2042169,575000,74,0.0691,207720522,0,1
53,professional,medium,15418334,6195926,3466489,2729437,1221000,8,0.0551,38183539,0,1
31,employee,medium,23571410,0,12217238,-12217238,42000,59,0.0327,0,42000,0
26,student,medium,3842205,0,793617,-793617,10000,107,0.0385,0,10000,0
29,employee,medium,0,2915368,1551238,1364130,1167000,42,0.0468,62121596,0,1
25,student,high,4187714,0,1393011,-1393011,550000,91,0.0625,0,550000,0
35,employee,medium,8521086,1807094,1066162,740932,1675000,56,0.0515,57620395,0,1
22,employee,high,23399822,3476750,2784919,691831,1999000,73,0.099,111535615,0,1
19,student,low,378099,0,60599,-60599,10000,48,0.0257,0,10000,0
22,student,medium,0,222440,189775,32665,1196000,55,0.0412,1973686,0,1
20,student,low,0,0,0,0,2104000,47,0.0209,0,2104000,0
39,employee,low,0,0,0,0,737000,57,0.0102,0,737000,0
43,freelancer,high,0,0,0,0,1603000,36,0.0932,0,1603000,0
40,freelancer,low,16491049,0,307594,-307594,493000,56,0.0124,0,493000,0
40,employee,medium,22301565,2450016,1412770,1037246,1159000,51,0.0333,82428498,0,1
51,employee,medium,9630602,1919391,1056422,862969,10000,29,0.0545,37667430,0,1
30,employee,low,35795196,1856799,1392838,463961,2325000,33,0.0157,53009040,0,1
33,self_employed,medium,0,5291745,3738303,1553442,10000,17,0.0446,27208511,0,1
25,student,low,3220812,0,284898,-284898,809000,78,0.0186,0,809000,0
38,self_employed,medium,497199,3468114,2264121,1203993,136000,28,0.0359,35649885,0,1
23,student,medium,0,75500,34924,40576,1211000,24,0.0306,1002923,208077,0
28,employee,medium,19191145,3284449,2154141,1130308,10000,53,0.0398,88248637,0,1
33,self_employed,medium,20988992,2570919,1080270,1490649,1375000,30,0.0469,70943334,0,1
23,student,medium,5813120,888795,618285,270510,83000,54,0.0388,22852435,0,1
30,employee,medium,31950712,4959016,3333385,1625631,10000,32,0.0388,90141286,0,1
35,freelancer,low,9538854,3416736,2025085,1391651,10000,76,0.0293,127541047,0,1
32,employee,low,22618434,4973672,2782061,2191611,2219000,67,0.0272,184704407,0,1
38,freelancer,high,10327778,714685,409975,304710,1552000,40,0.0911,28155343,0,1
34,employee,medium,3815667,0,1341113,-1341113,10000,51,0.0308,0,10000,0
25,employee,high,18398325,3598715,2215712,1383003,2212000,64,0.0708,133971347,0,1
40,self_employed,medium,19610227,2253026,1791610,461416,2464000,69,0.0525,63574952,0,1
24,student,medium,8994737,0,5396842,-5396842,787000,38,0.0566,0,787000,0
46,self_employed,medium,4613022,0,517451,-517451,54000,78,0.0549,0,54000,0
22,student,medium,0,0,0,0,121000,31,0.0376,0,121000,0
30,self_employed,low,9466571,5847607,3354331,2493276,10000,41,0.0207,115991174,0,1
36,freelancer,medium,27147597,4126286,2203626,1922660,930000,4,0.0583,35425890,0,1
51,self_employed,medium,23680557,0,8873923,-8873923,2436000,90,0.0434,0,2436000,0
29,freelancer,low,7358898,0,2048047,-2048047,512000,38,0.0244,0,512000,0
38,professional,medium,11783027,5385897,3989587,1396310,2032000,37,0.0363,67754681,0,1
32,employee,low,22891224,3348884,1867315,1481569,10000,62,0.0187,121573803,0,1
27,employee,low,48533751,3219326,2023351,1195975,10000,63,0.0108,128851401,0,1
28,freelancer,high,26680104,2287880,1388434,899446,2659000,56,0.0756,98098333,0,1
23,student,low,0,0,0,0,1203000,64,0.0158,0,1203000,0
38,freelancer,low,19513521,0,7815118,-7815118,1557000,47,0.0176,0,1557000,0
30,employee,low,8445416,3051907,1557109,1494798,420000,27,0.0171,49892606,0,1
42,self_employed,low,8149923,5142933,4628954,513979,10000,72,0.0298,50209705,0,1
39,employee,high,35395966,2525772,1414852,1110920,93000,43,0.0992,107512836,0,1
27,freelancer,medium,0,1565670,668682,896988,475000,45,0.0454,43913784,0,1
22,student,medium,5801906,1276805,905592,371213,1059000,82,0.0411,42754501,0,1
32,professional,low,0,2887920,2416183,471737,579000,81,0.0202,40901442,0,1
32,employee,medium,28764378,3913037,2756032,1157005,1063000,39,0.0373,80358573,0,1
34,professional,medium,46133308,2680029,1387627,1292402,10000,29,0.0432,90631714,0,1
34,employee,medium,11784004,0,3355387,-3355387,133000,35,0.036,0,133000,0
24,employee,low,20847405,5263944,3178754,2085190,200000,43,0.0126,113478635,0,1
24,student,high,520113,155154,113653,41501,2008000,80,0.0712,5068176,0,1
36,employee,medium,45352284,2661470,1993208,668262,10000,30,0.0483,72423599,0,1
23,student,medium,3337677,1361614,963962,397652,10000,51,0.0459,26401586,0,1
40,freelancer,low,17639278,0,1665103,-1665103,2158000,52,0.0191,0,2158000,0
49,employee,low,31140808,3251742,2267477,984265,2576000,60,0.0159,95140310,0,1
39,professional,low,53631807,3192453,2471734,720719,1540000,5,0.0265,57846159,0,1
22,student,medium,4919410,956780,630010,326770,2154000,33,0.0538,17295961,0,1
25,employee,medium,21335792,3382212,1118503,2263709,210000,48,0.0376,141849955,0,1
45,employee,medium,13416010,4003828,1488351,2515477,1378000,72,0.0425,223193278,0,1
20,student,low,0,0,0,0,93000,65,0.0119,0,93000,0
29,employee,high,2326840,2908533,1655103,1253430,10000,109,0.0851,210112489,0,1
36,self_employed,low,0,0,0,0,10000,34,0.0132,0,10000,0
28,freelancer,medium,5236673,0,1557221,-1557221,1270000,72,0.0375,0,1270000,0
21,student,low,6826933,0,3009302,-3009302,111000,7,0.0181,0,111000,0
25,freelancer,low,7162660,4313230,2717993,1595237,153000,1,0.0239,8772163,0,1
29,employee,medium,28848707,3438003,1950370,1487633,2226000,80,0.0364,171221825,0,1
42,employee,medium,38218164,3244460,2020849,1223611,10000,51,0.0348,111450969,0,1
27,self_employed,low,22655050,0,5438483,-5438483,1441000,18,0.0281,0,1441000,0
31,freelancer,medium,15796621,2559076,1856766,702310,587000,5,0.0524,19686891,0,1
20,student,medium,4140001,0,0,0,234000,51,0.0547,5220759,0,1
34,self_employed,medium,5143763,2384211,1683018,701193,1224000,1,0.0303,5857944,0,1
24,employee,low,16184537,3327806,2395227,932579,2766000,38,0.0115,52858069,0,1
22,employee,high,27124493,0,0,0,10000,67,0.082,42807498,0,1
31,professional,medium,16145187,3416664,2105105,1311559,123000,41,0.0572,78853758,0,1
22,student,medium,0,1921084,1798857,122227,10000,35,0.0537,4619999,0,1
45,employee,medium,0,3025225,2185092,840133,10000,80,0.0508,79794042,0,1
25,student,high,657253,0,122998,-122998,630000,42,0.0927,0,630000,0
25,student,high,7759629,760671,611659,149012,716000,60,0.0679,21496416,0,1
37,employee,medium,3984913,3403713,2614826,788887,2171000,46,0.0444,44203313,0,1
27,freelancer,medium,30991136,2818417,1967333,851084,1071000,55,0.0448,89895464,0,1
36,employee,medium,33905729,4257190,2614962,1642228,10000,73,0.0348,175189876,0,1
21,student,high,2247748,530447,353285,177162,10000,85,0.0947,25725758,0,1
39,freelancer,medium,6653264,0,1918629,-1918629,10000,44,0.0536,0,10000,0
48,self_employed,medium,37318451,0,5382499,-5382499,309000,80,0.0438,0,309000,0
27,student,low,4816378,0,1159383,-1159383,1115000,59,0.0187,0,1115000,0
26,student,medium,7320599,0,0,0,10000,20,0.0533,7999098,0,1
27,freelancer,medium,11035822,0,5144039,-5144039,10000,65,0.0529,0,10000,0
24,student,low,3706239,3000000,2115419,884581,995000,26,0.0184,27302239,0,1
24,student,high,4568264,1884238,1424677,459561,10000,106,0.0862,82401858,0,1
38,professional,low,0,4731583,2897474,1834109,545000,47,0.0103,87927035,0,1
43,self_employed,low,39516670,628224,528935,99289,354000,80,0.0104,50573705,0,1
36,employee,medium,4647990,4649690,3165127,1484563,1306000,55,0.0559,98821223,0,1
29,employee,low,30372003,3393005,2189288,1203717,1374000,52,0.0268,100402131,0,1
36,self_employed,medium,58369404,2519484,1885150,634334,956000,41,0.0557,99148277,0,1
36,professional,medium,44885085,4471821,2231598,2240223,755000,7,0.0427,61865061,0,1
23,freelancer,low,11069371,3228913,2621513,607400,10000,68,0.0184,55783069,0,1
34,employee,high,28882166,3963298,2488400,1474898,387000,45,0.0964,120972717,0,1
29,self_employed,medium,25931293,2095842,1455827,640015,1822000,42,0.0597,61753879,0,1
20,student,low,0,908662,580090,328572,1654000,58,0.0155,19775938,0,1
22,student,low,7628678,0,0,0,10000,37,0.0118,7911204,0,1
22,employee,low,7364809,3495943,2220958,1274985,10000,45,0.018,67187731,0,1
37,freelancer,medium,11556268,0,2824179,-2824179,561000,31,0.0581,0,561000,0
43,employee,medium,27913987,3057999,1498842,1559157,1356000,58,0.0438,134994789,0,1
19,student,low,0,0,0,0,529000,78,0.0286,0,529000,0
36,self_employed,low,42137889,3245820,2280523,965297,257000,84,0.0274,140306832,0,1
23,student,low,0,0,0,0,1782000,56,0.025,0,1782000,0
30,freelancer,medium,30023409,6561847,2908949,3652898,581000,56,0.058,273607137,0,1
22,employee,low,0,2258841,1482648,776193,10000,28,0.0255,22368517,0,1
44,employee,high,14193008,5037742,4014496,1023246,10000,87,0.0844,148320545,0,1
36,professional,low,24205177,6427837,3400292,3027545,1277000,104,0.0205,373153992,0,1
33,freelancer,high,9669727,0,2951800,-2951800,1024000,45,0.0969,0,1024000,0
49,self_employed,medium,507571,0,258630,-258630,2554000,71,0.0564,0,2554000,0
33,professional,medium,22313993,1304292,747124,557168,678000,45,0.0529,54863462,0,1
37,freelancer,medium,0,0,0,0,10000,19,0.0466,0,10000,0
24,student,low,11621,0,56155,-56155,817000,46,0.0151,0,817000,0
41,employee,medium,21296054,3570182,2433484,1136698,1988000,60,0.054,105976707,0,1
